date,world_seaborne_trade,growth,clarksea_idx,newbuild_price_idx,ghg_emissions
20230624,12.2,1.8,21749,170.9,821.9
20230701,12.2,1.8,21749,170.9,821.9
20230708,12.3,2.3,20018,171.3,837.7
20230715,12.3,2.3,20090,171.6,837.7
20230722,12.3,2.3,19972,172.1,837.7
20230729,12.3,2.3,19846,172.4,837.7
20230805,12.3,2.4,18989,172.6,837.7
20230812,12.3,2.3,18998,172.7,837.7
20230819,12.3,2.3,20305,172.7,837.7
20230826,12.3,2.3,20265,173.6,837.7
20230902,12.3,2.2,20686,174.1,837.7
20230909,12.3,2.2,20954,174.3,837.7
20230916,12.3,2.2,21865,174.6,837.7
20230923,12.3,2.2,23272,175.0,832.9
20230930,12.3,2.2,22305,175.4,832.9
20231007,12.3,2.4,22228,175.5,832.9
20231014,12.3,2.4,23913,175.7,832.9
20231021,12.3,2.4,24285,175.9,832.9
20231028,12.3,2.4,24481,176.0,832.9
20231104,12.3,2.5,24752,176.2,832.9
20231111,12.3,2.5,25066,176.3,832.9
20231118,12.3,2.5,26193,176.6,832.9
20231125,12.3,2.5,26706,177.1,832.9
20231202,12.3,2.5,28602,177.1,832.9
20231209,12.4,2.8,27992,177.1,832.9
20231216,12.4,2.8,26958,177.3,832.9
20231223,12.4,2.8,26682,177.3,832.9
20231230,12.4,2.8,26213,178.4,832.9
20240106,12.6,2.4,24428,180.4,832.8
20240113,12.6,2.1,22888,181.0,832.8
20240120,12.6,2.1,24026,181.0,832.8
20240127,12.6,2.1,24973,181.2,832.8
20240203,12.6,2.1,23423,181.3,832.8
20240210,12.6,2.1,23979,181.3,832.8
20240217,12.6,2.1,24586,181.3,833.4
20240224,12.6,2.2,24552,181.4,833.4
20240302,12.6,2.2,24588,181.4,833.4
20240309,12.6,2.2,25613,181.8,833.4
20240316,12.6,2.2,27298,182.5,833.4
20240323,12.6,2.2,26958,182.8,833.4
20240330,12.6,2.3,25028,183.2,833.4
20240406,12.6,2.3,23710,183.6,833.4
20240413,12.6,2.3,24193,183.6,833.4
20240420,12.6,2.3,24716,183.5,833.4
20240427,12.6,2.2,24485,183.9,833.4
20240504,12.6,2.2,25268,184.8,833.4
20240511,12.6,2.2,26646,185.3,833.4
20240518,12.6,2.2,26438,186.0,1002.0
20240525,12.6,2.2,26864,186.1,1002.0
20240601,12.6,2.4,27154,186.4,1002.0
20240608,12.6,2.4,27201,186.7,1002.0
20240615,12.6,2.4,27694,187.0,1002.0
20240622,12.6,2.3,27914,187.2,1002.0
20240629,12.6,2.3,28324,187.2,1046.0
20240706,12.6,2.3,27199,187.5,1046.0
20240713,12.6,2.3,27119,187.8,1046.0
20240720,12.6,2.3,26601,187.9,1046.0
20240727,12.6,2.4,26391,188.0,1046.0
20240803,12.6,2.4,25504,188.2,1046.0
20240810,12.6,2.4,24696,188.6,1051.0
20240817,12.6,2.4,24938,188.7,1051.0
20240824,12.6,2.4,25283,188.8,1051.0
20240831,12.6,2.2,24767,189.2,1051.0
20240907,12.6,2.2,24563,189.7,1051.0
20240914,12.6,2.2,25103,189.8,1051.0
20240921,12.6,2.2,25367,190.0,1051.0
20240928,12.6,2.2,24657,190.0,1051.0
20241005,12.6,2.2,25623,189.8,1051.0
20241012,12.6,2.2,25210,189.8,1051.0
20241019,12.6,2.2,24684,189.7,1051.0
20241026,12.6,2.4,23551,189.6,1051.0
20241102,12.6,2.4,23093,189.5,1051.0
20241109,12.6,2.4,22514,189.4,1051.0
