date,container_port_congestion_idx
20230624,31.0
20230708,31.3
20230715,32.0
20230722,30.7
20230729,31.0
20230805,29.9
20230807,29.8
20230808,30.1
20230809,30.6
20230810,30.6
20230811,31.2
20230812,31.5
20230813,31.8
20230814,31.9
20230815,31.9
20230816,31.8
20230817,31.6
20230818,31.9
20230819,31.7
20230820,31.5
20230821,31.4
20230822,31.4
20230823,31.7
20230824,31.4
20230825,31.3
20230826,31.4
20230827,31.3
20230828,31.4
20230829,31.2
20230830,31.3
20230831,31.2
20230901,31.1
20230902,31.1
20230903,31.1
20230904,30.8
20230905,30.8
20230906,30.5
20230907,31.1
20230908,31.7
20230909,31.5
20230910,31.5
20230911,31.5
20230912,31.5
20230913,31.8
20230914,31.4
20230915,31.6
20230916,31.7
20230917,31.4
20230918,31.2
20230919,31.3
20230920,31.2
20230921,31.0
20230922,30.5
20230923,30.5
20230924,30.5
20230925,31.1
20230926,30.8
20230927,31.0
20230928,31.0
20230929,31.4
20230930,31.3
20231001,31.3
20231002,31.4
20231003,31.4
20231004,31.3
20231005,31.3
20231006,31.0
20231007,30.7
20231008,30.5
20231009,30.2
20231010,30.2
20231011,30.5
20231012,30.5
20231013,30.7
20231014,30.7
20231015,30.7
20231016,31.4
20231017,31.3
20231018,31.3
20231019,31.5
20231020,31.7
20231021,31.7
20231022,31.7
20231023,32.0
20231024,32.1
20231025,32.2
20231026,32.2
20231027,31.8
20231028,32.3
20231029,32.3
20231030,32.2
20231031,32.2
20231101,32.1
20231102,32.1
20231103,32.2
20231104,32.1
20231105,32.1
20231106,32.1
20231107,31.8
20231108,31.7
20231109,31.6
20231110,31.6
20231111,31.3
20231112,31.2
20231113,30.7
20231114,30.7
20231115,30.5
20231116,30.4
20231117,30.5
20231118,30.5
20231119,31.0
20231120,31.5
20231121,31.7
20231122,32.0
20231123,32.0
20231124,32.2
20231125,32.2
20231126,32.2
20231127,32.2
20231128,32.3
20231129,32.4
20231130,32.6
20231201,32.4
20231202,32.4
20231203,32.4
20231204,32.3
20231213,31.9
20231214,32.0
20231215,31.9
20231216,31.9
20231217,32.0
20231218,32.2
20231219,31.9
20231220,31.9
20231221,31.5
20231222,31.4
20231223,31.4
20231224,31.4
20231225,31.1
20231226,30.7
20231227,30.7
20231228,31.2
20231229,31.3
20231230,31.5
20231231,31.8
20240101,31.9
20240102,31.6
20240103,31.6
20240104,31.4
20240105,38.5
20240106,45.4
20240107,30.6
20240108,30.4
20240109,30.4
20240110,30.4
20240111,29.3
20240112,29.1
20240113,28.9
20240114,28.6
20240115,28.4
20240116,28.4
20240117,28.5
20240118,28.4
20240119,28.4
20240120,28.3
20240121,28.3
20240122,28.4
20240126,29.2
20240127,29.2
20240128,29.2
20240129,29.6
20240130,29.7
20240131,29.6
20240201,29.6
20240202,29.8
20240203,29.8
20240206,30.0
20240207,29.5
20240208,29.4
20240209,29.7
20240211,29.5
20240212,29.6
20240213,29.5
20240214,29.6
20240215,29.6
20240216,29.1
20240217,29.1
20240218,29.1
20240219,28.8
20240220,29.0
20240221,28.9
20240222,28.7
20240223,28.7
20240224,28.7
20240225,28.5
20240226,28.0
20240227,27.6
20240228,27.4
20240229,27.3
20240301,27.3
20240302,27.3
20240303,27.3
20240304,27.7
20240305,27.7
20240306,28.0
20240307,28.1
20240308,28.3
20240309,28.1
20240310,28.2
20240311,28.3
20240312,28.6
20240313,28.7
20240314,28.7
20240315,28.9
20240316,28.9
20240317,29.3
20240318,29.5
20240319,29.7
20240320,29.9
20240321,29.9
20240322,29.9
20240323,29.9
20240324,30.1
20240325,30.1
20240326,30.0
20240327,30.1
20240328,30.3
20240329,30.4
20240330,30.4
20240331,30.4
20240401,30.4
20240402,30.7
20240403,30.7
20240404,30.8
20240405,30.7
20240406,30.8
20240407,30.8
20240408,30.7
20240409,30.5
20240410,30.3
20240411,30.0
20240412,30.0
20240413,30.0
20240414,30.0
20240415,29.9
20240416,29.9
20240417,29.9
20240418,29.9
20240419,30.1
20240420,30.1
20240421,30.1
20240422,30.0
20240423,29.6
20240424,29.7
20240425,29.8
20240426,29.8
20240427,29.8
20240428,29.8
20240429,30.0
20240430,30.2
20240501,30.3
20240502,30.3
20240503,30.5
20240504,30.5
20240505,30.5
20240506,30.4
20240507,30.1
20240508,30.1
20240509,30.1
20240510,29.9
20240511,29.9
20240512,29.9
20240513,29.9
20240514,29.7
20240518,29.7
20240519,29.5
20240520,29.5
20240521,29.6
20240522,29.6
20240523,29.6
20240524,29.7
